Quality,Day,Product code,Year,Period over which rainfall was measured (days),Bureau of Meteorology station number,Rainfall amount (millimetres),Month
,19,IDCJAC0009,2010,2,31063,2.6,3
,20,IDCJAC0009,2010,1,31063,2.2,3
,21,IDCJAC0009,2010,,31063,0,3
,22,IDCJAC0009,2010,1,31063,8.2,3
,23,IDCJAC0009,2010,1,31063,27.6,3
,24,IDCJAC0009,2010,1,31063,6.2,3
,25,IDCJAC0009,2010,1,31063,2.8,3
,26,IDCJAC0009,2010,1,31063,122.4,3
,27,IDCJAC0009,2010,1,31063,63.2,3
,28,IDCJAC0009,2010,1,31063,73,3
,29,IDCJAC0009,2010,1,31063,23.6,3
,30,IDCJAC0009,2010,1,31063,45.4,3
,31,IDCJAC0009,2010,1,31063,9.6,3
,1,IDCJAC0009,2010,,31063,,4
,2,IDCJAC0009,2010,,31063,,4
,3,IDCJAC0009,2010,,31063,,4
,4,IDCJAC0009,2010,,31063,,4
,5,IDCJAC0009,2010,,31063,,4
,6,IDCJAC0009,2010,6,31063,253.2,4
,7,IDCJAC0009,2010,,31063,,4
,8,IDCJAC0009,2010,2,31063,16.2,4
,9,IDCJAC0009,2010,,31063,0,4
,10,IDCJAC0009,2010,,31063,0,4
,11,IDCJAC0009,2010,,31063,0,4
,12,IDCJAC0009,2010,,31063,0,4
,13,IDCJAC0009,2010,,31063,0,4
,14,IDCJAC0009,2010,1,31063,3.4,4
,15,IDCJAC0009,2010,1,31063,9.6,4
,16,IDCJAC0009,2010,1,31063,2.8,4
,17,IDCJAC0009,2010,,31063,0,4
,18,IDCJAC0009,2010,1,31063,13.4,4
,19,IDCJAC0009,2010,1,31063,17.6,4
,20,IDCJAC0009,2010,,31063,0,4
,21,IDCJAC0009,2010,,31063,0,4
,22,IDCJAC0009,2010,,31063,0,4
,23,IDCJAC0009,2010,,31063,0,4
,24,IDCJAC0009,2010,1,31063,16.2,4
,25,IDCJAC0009,2010,1,31063,4.4,4
,26,IDCJAC0009,2010,,31063,0,4
,27,IDCJAC0009,2010,1,31063,4.6,4
,28,IDCJAC0009,2010,1,31063,1.8,4
,29,IDCJAC0009,2010,,31063,0,4
,30,IDCJAC0009,2010,,31063,0,4
,1,IDCJAC0009,2010,1,31063,12.6,5
,2,IDCJAC0009,2010,,31063,0,5
,3,IDCJAC0009,2010,1,31063,6.4,5
,4,IDCJAC0009,2010,1,31063,7.2,5
,5,IDCJAC0009,2010,1,31063,3.4,5
,6,IDCJAC0009,2010,,31063,0,5
,7,IDCJAC0009,2010,,31063,0,5
,8,IDCJAC0009,2010,1,31063,4.6,5
,9,IDCJAC0009,2010,,31063,0,5
,10,IDCJAC0009,2010,1,31063,3.8,5
,11,IDCJAC0009,2010,,31063,0,5
,12,IDCJAC0009,2010,,31063,0,5
,13,IDCJAC0009,2010,,31063,0,5
,14,IDCJAC0009,2010,,31063,0,5
,15,IDCJAC0009,2010,,31063,0,5
,16,IDCJAC0009,2010,,31063,0,5
,17,IDCJAC0009,2010,,31063,0,5
,18,IDCJAC0009,2010,,31063,0,5
,19,IDCJAC0009,2010,,31063,0,5
,20,IDCJAC0009,2010,,31063,0,5
,21,IDCJAC0009,2010,,31063,0,5
,22,IDCJAC0009,2010,,31063,0,5
,23,IDCJAC0009,2010,,31063,0,5
,24,IDCJAC0009,2010,,31063,0,5
,25,IDCJAC0009,2010,,31063,0,5
,26,IDCJAC0009,2010,,31063,0,5
,27,IDCJAC0009,2010,,31063,0,5
,28,IDCJAC0009,2010,,31063,0,5
,29,IDCJAC0009,2010,,31063,0,5
,30,IDCJAC0009,2010,,31063,0,5
,31,IDCJAC0009,2010,,31063,0,5
,1,IDCJAC0009,2010,,31063,0,6
,2,IDCJAC0009,2010,,31063,0,6
,3,IDCJAC0009,2010,,31063,0,6
,4,IDCJAC0009,2010,,31063,0,6
,5,IDCJAC0009,2010,,31063,0,6
,6,IDCJAC0009,2010,,31063,0,6
,7,IDCJAC0009,2010,,31063,0,6
,8,IDCJAC0009,2010,,31063,0,6
,9,IDCJAC0009,2010,,31063,0,6
,10,IDCJAC0009,2010,,31063,0,6
,11,IDCJAC0009,2010,,31063,0,6
,12,IDCJAC0009,2010,,31063,0,6
,13,IDCJAC0009,2010,,31063,0,6
,14,IDCJAC0009,2010,,31063,0,6
,15,IDCJAC0009,2010,,31063,0,6
,16,IDCJAC0009,2010,,31063,0,6
,17,IDCJAC0009,2010,1,31063,2.8,6
,18,IDCJAC0009,2010,,31063,0,6
,19,IDCJAC0009,2010,,31063,0,6
,20,IDCJAC0009,2010,,31063,0,6
,21,IDCJAC0009,2010,,31063,0,6
,22,IDCJAC0009,2010,,31063,0,6
,23,IDCJAC0009,2010,,31063,0,6
,24,IDCJAC0009,2010,,31063,0,6
,25,IDCJAC0009,2010,1,31063,1,6
,26,IDCJAC0009,2010,1,31063,9.2,6
,27,IDCJAC0009,2010,1,31063,1.2,6
,28,IDCJAC0009,2010,,31063,0,6
,29,IDCJAC0009,2010,,31063,0,6
,30,IDCJAC0009,2010,1,31063,0.4,6
,1,IDCJAC0009,2010,,31063,0,7
,2,IDCJAC0009,2010,1,31063,1.8,7
,3,IDCJAC0009,2010,,31063,0,7
,4,IDCJAC0009,2010,,31063,0,7
,5,IDCJAC0009,2010,1,31063,2.4,7
,6,IDCJAC0009,2010,1,31063,2.2,7
,7,IDCJAC0009,2010,,31063,0,7
,8,IDCJAC0009,2010,,31063,0,7
,9,IDCJAC0009,2010,,31063,0,7
,10,IDCJAC0009,2010,,31063,0,7
,11,IDCJAC0009,2010,,31063,0,7
,12,IDCJAC0009,2010,1,31063,5,7
,13,IDCJAC0009,2010,1,31063,3.2,7
,14,IDCJAC0009,2010,1,31063,1.2,7
,15,IDCJAC0009,2010,,31063,0,7
,16,IDCJAC0009,2010,,31063,0,7
,17,IDCJAC0009,2010,,31063,0,7
,18,IDCJAC0009,2010,,31063,0,7
,19,IDCJAC0009,2010,,31063,0,7
,20,IDCJAC0009,2010,,31063,0,7
,21,IDCJAC0009,2010,,31063,0,7
,22,IDCJAC0009,2010,,31063,0,7
,23,IDCJAC0009,2010,,31063,0,7
,24,IDCJAC0009,2010,1,31063,6,7
,25,IDCJAC0009,2010,1,31063,1.2,7
,26,IDCJAC0009,2010,1,31063,10.4,7
,27,IDCJAC0009,2010,1,31063,4.8,7
,28,IDCJAC0009,2010,,31063,0,7
,29,IDCJAC0009,2010,,31063,0,7
,30,IDCJAC0009,2010,,31063,0,7
,31,IDCJAC0009,2010,,31063,0,7
,1,IDCJAC0009,2010,,31063,0,8
,2,IDCJAC0009,2010,,31063,0,8
,3,IDCJAC0009,2010,,31063,0,8
,4,IDCJAC0009,2010,,31063,0,8
,5,IDCJAC0009,2010,,31063,0,8
,6,IDCJAC0009,2010,,31063,0,8
,7,IDCJAC0009,2010,,31063,0,8
,8,IDCJAC0009,2010,,31063,0,8
,9,IDCJAC0009,2010,,31063,0,8
,10,IDCJAC0009,2010,1,31063,1.2,8
,11,IDCJAC0009,2010,1,31063,4.4,8
,12,IDCJAC0009,2010,,31063,0,8
,13,IDCJAC0009,2010,,31063,0,8
,14,IDCJAC0009,2010,,31063,0,8
,15,IDCJAC0009,2010,,31063,0,8
,16,IDCJAC0009,2010,,31063,0,8
,17,IDCJAC0009,2010,,31063,0,8
,18,IDCJAC0009,2010,,31063,0,8
,19,IDCJAC0009,2010,,31063,0,8
,20,IDCJAC0009,2010,1,31063,4.6,8
,21,IDCJAC0009,2010,,31063,0,8
,22,IDCJAC0009,2010,,31063,0,8
,23,IDCJAC0009,2010,,31063,0,8
,24,IDCJAC0009,2010,,31063,0,8
,25,IDCJAC0009,2010,,31063,0,8
,26,IDCJAC0009,2010,,31063,0,8
,27,IDCJAC0009,2010,,31063,0,8
,28,IDCJAC0009,2010,,31063,0,8
,29,IDCJAC0009,2010,1,31063,1.4,8
,30,IDCJAC0009,2010,1,31063,30.4,8
,31,IDCJAC0009,2010,1,31063,32,8
,1,IDCJAC0009,2010,1,31063,3.4,9
,2,IDCJAC0009,2010,,31063,0,9
,3,IDCJAC0009,2010,,31063,0,9
,4,IDCJAC0009,2010,1,31063,2.4,9
,5,IDCJAC0009,2010,1,31063,34.4,9
,6,IDCJAC0009,2010,,31063,,9
,7,IDCJAC0009,2010,2,31063,6.4,9
,8,IDCJAC0009,2010,,31063,0,9
,9,IDCJAC0009,2010,,31063,0,9
,10,IDCJAC0009,2010,,31063,0,9
,11,IDCJAC0009,2010,,31063,0,9
,12,IDCJAC0009,2010,,31063,0,9
,13,IDCJAC0009,2010,1,31063,2.6,9
,14,IDCJAC0009,2010,1,31063,3,9
,15,IDCJAC0009,2010,,31063,0,9
,16,IDCJAC0009,2010,,31063,0,9
,17,IDCJAC0009,2010,,31063,0,9
,18,IDCJAC0009,2010,1,31063,6.8,9
,19,IDCJAC0009,2010,1,31063,3.2,9
,20,IDCJAC0009,2010,1,31063,43.6,9
,21,IDCJAC0009,2010,1,31063,4.8,9
,22,IDCJAC0009,2010,1,31063,17.8,9
,23,IDCJAC0009,2010,,31063,0,9
,24,IDCJAC0009,2010,,31063,0,9
,25,IDCJAC0009,2010,,31063,0,9
,26,IDCJAC0009,2010,,31063,0,9
,27,IDCJAC0009,2010,1,31063,4,9
,28,IDCJAC0009,2010,,31063,0,9
,29,IDCJAC0009,2010,1,31063,8.6,9
,30,IDCJAC0009,2010,,31063,0,9
,1,IDCJAC0009,2010,1,31063,1.8,10
,2,IDCJAC0009,2010,1,31063,17.2,10
,3,IDCJAC0009,2010,1,31063,40.4,10
,4,IDCJAC0009,2010,1,31063,8.6,10
,5,IDCJAC0009,2010,,31063,0,10
,6,IDCJAC0009,2010,1,31063,6,10
,7,IDCJAC0009,2010,1,31063,11,10
,8,IDCJAC0009,2010,1,31063,2.6,10
,9,IDCJAC0009,2010,1,31063,23,10
,10,IDCJAC0009,2010,1,31063,13.8,10
,11,IDCJAC0009,2010,1,31063,3.6,10
,12,IDCJAC0009,2010,1,31063,0.8,10
,13,IDCJAC0009,2010,,31063,0,10
,14,IDCJAC0009,2010,1,31063,29.8,10
,15,IDCJAC0009,2010,1,31063,19,10
,16,IDCJAC0009,2010,1,31063,3,10
,17,IDCJAC0009,2010,1,31063,14.2,10
,18,IDCJAC0009,2010,,31063,0,10
,19,IDCJAC0009,2010,,31063,0,10
,20,IDCJAC0009,2010,,31063,0,10
,21,IDCJAC0009,2010,1,31063,16.6,10
,22,IDCJAC0009,2010,1,31063,36.2,10
,23,IDCJAC0009,2010,1,31063,7.4,10
,24,IDCJAC0009,2010,,31063,0,10
,25,IDCJAC0009,2010,,31063,0,10
,26,IDCJAC0009,2010,,31063,0,10
,27,IDCJAC0009,2010,,31063,0,10
,28,IDCJAC0009,2010,,31063,0,10
,29,IDCJAC0009,2010,,31063,0,10
,30,IDCJAC0009,2010,,31063,0,10
,31,IDCJAC0009,2010,,31063,0,10
,1,IDCJAC0009,2010,,31063,0,11
,2,IDCJAC0009,2010,,31063,0,11
,3,IDCJAC0009,2010,1,31063,1,11
,4,IDCJAC0009,2010,1,31063,3.4,11
,5,IDCJAC0009,2010,,31063,0,11
,6,IDCJAC0009,2010,,31063,0,11
,7,IDCJAC0009,2010,,31063,0,11
,8,IDCJAC0009,2010,1,31063,1.6,11
,9,IDCJAC0009,2010,,31063,0,11
,10,IDCJAC0009,2010,,31063,0,11
,11,IDCJAC0009,2010,,31063,0,11
,12,IDCJAC0009,2010,,31063,0,11
,13,IDCJAC0009,2010,1,31063,2.4,11
,14,IDCJAC0009,2010,,31063,0,11
,15,IDCJAC0009,2010,1,31063,5.8,11
,16,IDCJAC0009,2010,,31063,0,11
,17,IDCJAC0009,2010,1,31063,5.6,11
,18,IDCJAC0009,2010,1,31063,2.4,11
,19,IDCJAC0009,2010,1,31063,2.8,11
,20,IDCJAC0009,2010,1,31063,19.6,11
,21,IDCJAC0009,2010,1,31063,17,11
,22,IDCJAC0009,2010,,31063,0,11
,23,IDCJAC0009,2010,1,31063,2.2,11
,24,IDCJAC0009,2010,1,31063,27.4,11
,25,IDCJAC0009,2010,1,31063,57.6,11
,26,IDCJAC0009,2010,1,31063,27.4,11
,27,IDCJAC0009,2010,1,31063,40.8,11
,28,IDCJAC0009,2010,,31063,0,11
,29,IDCJAC0009,2010,1,31063,7,11
,30,IDCJAC0009,2010,1,31063,43.8,11
,1,IDCJAC0009,2010,,31063,0,12
,2,IDCJAC0009,2010,,31063,0,12
,3,IDCJAC0009,2010,,31063,0,12
,4,IDCJAC0009,2010,,31063,0,12
,5,IDCJAC0009,2010,,31063,0,12
,6,IDCJAC0009,2010,,31063,0,12
,7,IDCJAC0009,2010,,31063,0,12
,8,IDCJAC0009,2010,,31063,0,12
,9,IDCJAC0009,2010,1,31063,13.4,12
,10,IDCJAC0009,2010,1,31063,3.8,12
,11,IDCJAC0009,2010,,31063,0,12
,12,IDCJAC0009,2010,1,31063,3.4,12
,13,IDCJAC0009,2010,1,31063,61.6,12
,14,IDCJAC0009,2010,1,31063,15.6,12
,15,IDCJAC0009,2010,1,31063,18.4,12
,16,IDCJAC0009,2010,,31063,0,12
,17,IDCJAC0009,2010,,31063,0,12
,18,IDCJAC0009,2010,,31063,0,12
,19,IDCJAC0009,2010,1,31063,7.2,12
,20,IDCJAC0009,2010,1,31063,2,12
,21,IDCJAC0009,2010,1,31063,9.2,12
,22,IDCJAC0009,2010,1,31063,9.4,12
,23,IDCJAC0009,2010,1,31063,86.4,12
,24,IDCJAC0009,2010,1,31063,7.4,12
,25,IDCJAC0009,2010,1,31063,101.6,12
,26,IDCJAC0009,2010,1,31063,22.6,12
,27,IDCJAC0009,2010,1,31063,60.2,12
,28,IDCJAC0009,2010,1,31063,16.2,12
,29,IDCJAC0009,2010,1,31063,0.6,12
,30,IDCJAC0009,2010,1,31063,7.4,12
,31,IDCJAC0009,2010,,31063,0,12
,1,IDCJAC0009,2011,1,31063,28.2,1
,2,IDCJAC0009,2011,1,31063,91,1
,3,IDCJAC0009,2011,1,31063,1.8,1
,4,IDCJAC0009,2011,1,31063,5.8,1
,5,IDCJAC0009,2011,1,31063,6.8,1
,6,IDCJAC0009,2011,,31063,0,1
,7,IDCJAC0009,2011,1,31063,22.2,1
,8,IDCJAC0009,2011,1,31063,0.6,1
,9,IDCJAC0009,2011,,31063,0,1
,10,IDCJAC0009,2011,1,31063,28.8,1
,11,IDCJAC0009,2011,,31063,0,1
,12,IDCJAC0009,2011,1,31063,65,1
,13,IDCJAC0009,2011,,31063,0,1
,14,IDCJAC0009,2011,1,31063,62.2,1
,15,IDCJAC0009,2011,1,31063,36.8,1
,16,IDCJAC0009,2011,1,31063,1.4,1
,17,IDCJAC0009,2011,1,31063,22.2,1
,18,IDCJAC0009,2011,1,31063,8.2,1
,19,IDCJAC0009,2011,1,31063,15.8,1
,20,IDCJAC0009,2011,1,31063,5.2,1
,21,IDCJAC0009,2011,1,31063,6.4,1
,22,IDCJAC0009,2011,1,31063,111,1
,23,IDCJAC0009,2011,1,31063,72.8,1
,24,IDCJAC0009,2011,,31063,0,1
,25,IDCJAC0009,2011,,31063,0,1
,26,IDCJAC0009,2011,,31063,0,1
,27,IDCJAC0009,2011,,31063,0,1
,28,IDCJAC0009,2011,1,31063,2.6,1
,29,IDCJAC0009,2011,,31063,0,1
,30,IDCJAC0009,2011,,31063,,1
,31,IDCJAC0009,2011,2,31063,6.6,1
,1,IDCJAC0009,2011,1,31063,1.8,2
,2,IDCJAC0009,2011,,31063,0,2
,3,IDCJAC0009,2011,1,31063,28.6,2
,4,IDCJAC0009,2011,1,31063,89.2,2
,5,IDCJAC0009,2011,1,31063,78.2,2
,6,IDCJAC0009,2011,1,31063,3.4,2
,7,IDCJAC0009,2011,1,31063,70.8,2
,8,IDCJAC0009,2011,1,31063,8.6,2
,9,IDCJAC0009,2011,1,31063,3.8,2
,10,IDCJAC0009,2011,1,31063,15.8,2
,11,IDCJAC0009,2011,1,31063,15.4,2
,12,IDCJAC0009,2011,1,31063,53.2,2
,13,IDCJAC0009,2011,1,31063,14.8,2
,14,IDCJAC0009,2011,1,31063,2.8,2
,15,IDCJAC0009,2011,,31063,0,2
,16,IDCJAC0009,2011,1,31063,18.6,2
,17,IDCJAC0009,2011,1,31063,24.2,2
,18,IDCJAC0009,2011,,31063,0,2
,19,IDCJAC0009,2011,,31063,0,2
,20,IDCJAC0009,2011,1,31063,6.8,2
,21,IDCJAC0009,2011,1,31063,3.6,2
,22,IDCJAC0009,2011,,31063,0,2
,23,IDCJAC0009,2011,1,31063,14.4,2
,24,IDCJAC0009,2011,1,31063,59.2,2
,25,IDCJAC0009,2011,1,31063,182.2,2
,26,IDCJAC0009,2011,1,31063,62,2
,27,IDCJAC0009,2011,1,31063,168,2
,28,IDCJAC0009,2011,1,31063,66,2
,1,IDCJAC0009,2011,,31063,,3
,2,IDCJAC0009,2011,2,31063,33.4,3
,3,IDCJAC0009,2011,,31063,0,3
,4,IDCJAC0009,2011,1,31063,7.4,3
,5,IDCJAC0009,2011,,31063,0,3
,6,IDCJAC0009,2011,1,31063,36.6,3
,7,IDCJAC0009,2011,1,31063,145.2,3
,8,IDCJAC0009,2011,1,31063,30.2,3
,9,IDCJAC0009,2011,1,31063,20.6,3
,10,IDCJAC0009,2011,1,31063,39.8,3
,11,IDCJAC0009,2011,1,31063,1.4,3
,12,IDCJAC0009,2011,1,31063,7.2,3
,13,IDCJAC0009,2011,1,31063,29.2,3
,14,IDCJAC0009,2011,1,31063,22.8,3
,15,IDCJAC0009,2011,1,31063,6,3
,16,IDCJAC0009,2011,1,31063,45.2,3
,17,IDCJAC0009,2011,1,31063,71.6,3
,18,IDCJAC0009,2011,1,31063,9.4,3
,19,IDCJAC0009,2011,,31063,0,3
,20,IDCJAC0009,2011,,31063,0,3
,21,IDCJAC0009,2011,,31063,0,3
,22,IDCJAC0009,2011,1,31063,5,3
,23,IDCJAC0009,2011,,31063,0,3
,24,IDCJAC0009,2011,1,31063,1.2,3
,25,IDCJAC0009,2011,,31063,0,3
,26,IDCJAC0009,2011,1,31063,2.8,3
,27,IDCJAC0009,2011,,31063,0,3
,28,IDCJAC0009,2011,1,31063,4,3
,29,IDCJAC0009,2011,,31063,0,3
,30,IDCJAC0009,2011,1,31063,1.2,3
,31,IDCJAC0009,2011,,31063,0,3
,1,IDCJAC0009,2011,1,31063,1.6,4
,2,IDCJAC0009,2011,1,31063,10.4,4
,3,IDCJAC0009,2011,1,31063,1.4,4
,4,IDCJAC0009,2011,,31063,0,4
,5,IDCJAC0009,2011,1,31063,14.4,4
,6,IDCJAC0009,2011,1,31063,6.4,4
,7,IDCJAC0009,2011,1,31063,1.2,4
,8,IDCJAC0009,2011,1,31063,13.6,4
,9,IDCJAC0009,2011,,31063,0,4
,10,IDCJAC0009,2011,1,31063,1.8,4
,11,IDCJAC0009,2011,,31063,0,4
,12,IDCJAC0009,2011,,31063,0,4
,13,IDCJAC0009,2011,,31063,0,4
,14,IDCJAC0009,2011,,31063,0,4
,15,IDCJAC0009,2011,,31063,0,4
,16,IDCJAC0009,2011,,31063,0,4
,17,IDCJAC0009,2011,,31063,0,4
,18,IDCJAC0009,2011,,31063,0,4
,19,IDCJAC0009,2011,,31063,0,4
,20,IDCJAC0009,2011,,31063,0,4
,21,IDCJAC0009,2011,,31063,0,4
,22,IDCJAC0009,2011,,31063,0,4
,23,IDCJAC0009,2011,,31063,0,4
,24,IDCJAC0009,2011,,31063,0,4
,25,IDCJAC0009,2011,,31063,0,4
,26,IDCJAC0009,2011,,31063,0,4
,27,IDCJAC0009,2011,1,31063,1.4,4
,28,IDCJAC0009,2011,1,31063,1,4
,29,IDCJAC0009,2011,1,31063,4.8,4
,30,IDCJAC0009,2011,,31063,0,4
,1,IDCJAC0009,2011,,31063,0,5
,2,IDCJAC0009,2011,,31063,0,5
,3,IDCJAC0009,2011,,31063,0,5
,4,IDCJAC0009,2011,,31063,0,5
,5,IDCJAC0009,2011,,31063,0,5
,6,IDCJAC0009,2011,,31063,0,5
,7,IDCJAC0009,2011,,31063,0,5
,8,IDCJAC0009,2011,,31063,0,5
,9,IDCJAC0009,2011,,31063,0,5
,10,IDCJAC0009,2011,,31063,0,5
,11,IDCJAC0009,2011,,31063,0,5
,12,IDCJAC0009,2011,,31063,0,5
,13,IDCJAC0009,2011,,31063,0,5
,14,IDCJAC0009,2011,,31063,0,5
,15,IDCJAC0009,2011,,31063,0,5
,16,IDCJAC0009,2011,1,31063,0.4,5
,17,IDCJAC0009,2011,1,31063,2.8,5
,18,IDCJAC0009,2011,,31063,0,5
,19,IDCJAC0009,2011,1,31063,2.4,5
,20,IDCJAC0009,2011,1,31063,2.6,5
,21,IDCJAC0009,2011,,31063,0,5
,22,IDCJAC0009,2011,1,31063,3.4,5
,23,IDCJAC0009,2011,,31063,0,5
,24,IDCJAC0009,2011,,31063,0,5
,25,IDCJAC0009,2011,,31063,0,5
,26,IDCJAC0009,2011,,31063,0,5
,27,IDCJAC0009,2011,,31063,0,5
,28,IDCJAC0009,2011,,31063,0,5
,29,IDCJAC0009,2011,,31063,0,5
,30,IDCJAC0009,2011,,31063,0,5
,31,IDCJAC0009,2011,,31063,0,5
,1,IDCJAC0009,2011,,31063,0,6
,2,IDCJAC0009,2011,,31063,0,6
,3,IDCJAC0009,2011,,31063,0,6
,4,IDCJAC0009,2011,,31063,0,6
,5,IDCJAC0009,2011,,31063,0,6
,6,IDCJAC0009,2011,,31063,0,6
,7,IDCJAC0009,2011,,31063,0,6
,8,IDCJAC0009,2011,,31063,0,6
,9,IDCJAC0009,2011,,31063,0,6
,10,IDCJAC0009,2011,,31063,0,6
,11,IDCJAC0009,2011,,31063,0,6
,12,IDCJAC0009,2011,,31063,0,6
,13,IDCJAC0009,2011,,31063,0,6
,14,IDCJAC0009,2011,,31063,0,6
,15,IDCJAC0009,2011,,31063,0,6
,16,IDCJAC0009,2011,,31063,0,6
,17,IDCJAC0009,2011,,31063,0,6
,18,IDCJAC0009,2011,,31063,0,6
,19,IDCJAC0009,2011,,31063,0,6
,20,IDCJAC0009,2011,,31063,0,6
,21,IDCJAC0009,2011,,31063,0,6
,22,IDCJAC0009,2011,,31063,0,6
,23,IDCJAC0009,2011,,31063,0,6
,24,IDCJAC0009,2011,,31063,0,6
,25,IDCJAC0009,2011,,31063,0,6
,26,IDCJAC0009,2011,1,31063,0.4,6
,27,IDCJAC0009,2011,1,31063,2,6
,28,IDCJAC0009,2011,1,31063,14.6,6
,29,IDCJAC0009,2011,1,31063,60.6,6
,30,IDCJAC0009,2011,1,31063,7.2,6
,1,IDCJAC0009,2011,1,31063,2.6,7
,2,IDCJAC0009,2011,,31063,0,7
,3,IDCJAC0009,2011,1,31063,1,7
,4,IDCJAC0009,2011,1,31063,0.8,7
,5,IDCJAC0009,2011,,31063,0,7
,6,IDCJAC0009,2011,,31063,0,7
,7,IDCJAC0009,2011,,31063,0,7
,8,IDCJAC0009,2011,,31063,0,7
,9,IDCJAC0009,2011,,31063,0,7
,10,IDCJAC0009,2011,,31063,0,7
,11,IDCJAC0009,2011,,31063,0,7
,12,IDCJAC0009,2011,,31063,0,7
,13,IDCJAC0009,2011,,31063,0,7
,14,IDCJAC0009,2011,,31063,0,7
,15,IDCJAC0009,2011,,31063,0,7
,16,IDCJAC0009,2011,,31063,0,7
,17,IDCJAC0009,2011,1,31063,1.4,7
,18,IDCJAC0009,2011,,31063,0,7
,19,IDCJAC0009,2011,,31063,0,7
,20,IDCJAC0009,2011,,31063,0,7
,21,IDCJAC0009,2011,,31063,0,7
,22,IDCJAC0009,2011,,31063,0,7
,23,IDCJAC0009,2011,,31063,0,7
,24,IDCJAC0009,2011,,31063,0,7
,25,IDCJAC0009,2011,,31063,0,7
,26,IDCJAC0009,2011,,31063,0,7
,27,IDCJAC0009,2011,1,31063,7.4,7
,28,IDCJAC0009,2011,,31063,0,7
,29,IDCJAC0009,2011,,31063,0,7
,30,IDCJAC0009,2011,,31063,0,7
,31,IDCJAC0009,2011,,31063,0,7
,1,IDCJAC0009,2011,,31063,0,8
,2,IDCJAC0009,2011,,31063,0,8
,3,IDCJAC0009,2011,,31063,0,8
,4,IDCJAC0009,2011,1,31063,4.4,8
,5,IDCJAC0009,2011,1,31063,1.4,8
,6,IDCJAC0009,2011,1,31063,3.6,8
,7,IDCJAC0009,2011,1,31063,5.6,8
,8,IDCJAC0009,2011,1,31063,0.8,8
,9,IDCJAC0009,2011,,31063,0,8
,10,IDCJAC0009,2011,,31063,0,8
,11,IDCJAC0009,2011,,31063,0,8
,12,IDCJAC0009,2011,,31063,0,8
,13,IDCJAC0009,2011,,31063,0,8
,14,IDCJAC0009,2011,,31063,0,8
,15,IDCJAC0009,2011,,31063,0,8
,16,IDCJAC0009,2011,1,31063,3.6,8
,17,IDCJAC0009,2011,,31063,0,8
,18,IDCJAC0009,2011,,31063,0,8
,19,IDCJAC0009,2011,,31063,0,8
,20,IDCJAC0009,2011,,31063,0,8
,21,IDCJAC0009,2011,,31063,0,8
,22,IDCJAC0009,2011,,31063,0,8
,23,IDCJAC0009,2011,,31063,0,8
,24,IDCJAC0009,2011,,31063,0,8
,25,IDCJAC0009,2011,,31063,0,8
,26,IDCJAC0009,2011,,31063,0,8
,27,IDCJAC0009,2011,,31063,0,8
,28,IDCJAC0009,2011,1,31063,0.2,8
,29,IDCJAC0009,2011,,31063,0,8
,30,IDCJAC0009,2011,,31063,0,8
,31,IDCJAC0009,2011,,31063,0,8
,1,IDCJAC0009,2011,,31063,0,9
,2,IDCJAC0009,2011,1,31063,1.2,9
,3,IDCJAC0009,2011,,31063,0,9
,4,IDCJAC0009,2011,1,31063,6.8,9
,5,IDCJAC0009,2011,1,31063,8.6,9
,6,IDCJAC0009,2011,,31063,0,9
,7,IDCJAC0009,2011,,31063,0,9
,8,IDCJAC0009,2011,,31063,0,9
,9,IDCJAC0009,2011,,31063,0,9
,10,IDCJAC0009,2011,,31063,0,9
,11,IDCJAC0009,2011,,31063,0,9
,12,IDCJAC0009,2011,,31063,0,9
,13,IDCJAC0009,2011,,31063,0,9
,14,IDCJAC0009,2011,,31063,0,9
,15,IDCJAC0009,2011,,31063,0,9
,16,IDCJAC0009,2011,,31063,0,9
,17,IDCJAC0009,2011,,31063,0,9
,18,IDCJAC0009,2011,,31063,0,9
,19,IDCJAC0009,2011,,31063,0,9
,20,IDCJAC0009,2011,,31063,0,9
,21,IDCJAC0009,2011,,31063,0,9
,22,IDCJAC0009,2011,,31063,0,9
,23,IDCJAC0009,2011,,31063,0,9
,24,IDCJAC0009,2011,,31063,0,9
,25,IDCJAC0009,2011,,31063,0,9
,26,IDCJAC0009,2011,,31063,0,9
,27,IDCJAC0009,2011,,31063,0,9
,28,IDCJAC0009,2011,,31063,0,9
,29,IDCJAC0009,2011,,31063,0,9
,30,IDCJAC0009,2011,,31063,0,9
,1,IDCJAC0009,2011,,31063,0,10
,2,IDCJAC0009,2011,,31063,0,10
,3,IDCJAC0009,2011,,31063,0,10
,4,IDCJAC0009,2011,,31063,0,10
,5,IDCJAC0009,2011,,31063,0,10
,6,IDCJAC0009,2011,,31063,0,10
,7,IDCJAC0009,2011,,31063,0,10
,8,IDCJAC0009,2011,,31063,0,10
,9,IDCJAC0009,2011,,31063,0,10
,10,IDCJAC0009,2011,,31063,0,10
,11,IDCJAC0009,2011,,31063,0,10
,12,IDCJAC0009,2011,,31063,0,10
,13,IDCJAC0009,2011,,31063,0,10
,14,IDCJAC0009,2011,,31063,0,10
,15,IDCJAC0009,2011,,31063,0,10
,16,IDCJAC0009,2011,1,31063,11.4,10
,17,IDCJAC0009,2011,,31063,0,10
,18,IDCJAC0009,2011,1,31063,37,10
,19,IDCJAC0009,2011,1,31063,189.2,10
